id;name;detail;entity_name;creation_date;last_updated
1;Re-engineered Dynamic;morph Representative Advanced;South Circle;2021-07-29T06:00:36;2021-07-29T01:00:03
2;Pine New;Automotive conglomeration indigo;microchip;2021-07-28T20:15:45;2021-07-28T14:33:51
3;Shirt transmitting;Jewelery Tugrik Books;web-enabled;2021-07-28T13:44:17;2021-07-29T09:17:47
4;Music Paradigm;Japan Dakota Strategist;bus Avon Fantastic;2021-07-29T02:26:05;2021-07-28T17:02:15
5;Automotive;Licensed Right-sized Garden;Dynamic Cotton Personal;2021-07-28T15:40:36;2021-07-28T11:16:47
6;Research;Bedfordshire Steel Cambridgeshire;Hill empower enable;2021-07-28T23:05:48;2021-07-28T19:51:29
7;Directives monitor Car;application Investment connecting;Cambridgeshire Pizza high-level;2021-07-28T10:57:28;2021-07-28T18:03:12
8;SAS;Borders;Administrator;2021-07-28T15:21:13;2021-07-29T00:13:32
9;Shilling;Soap;redundant;2021-07-29T07:28:36;2021-07-29T09:39:57
10;state;Berkshire;proactive Alabama;2021-07-29T03:54:18;2021-07-29T03:57:11
