id;name;detail;recognizer_name;creation_date;last_updated
1;Underpass PNG;sky best-of-breed Planner;Engineer SDD;2021-07-29T10:15:39;2021-07-28T22:16:54
2;Small;ADP;Card;2021-07-29T00:32:00;2021-07-28T14:47:07
3;Multi-channelled Tasty Plastic;Cambridgeshire Principal;monitor Soap web-readiness;2021-07-28T18:52:28;2021-07-29T00:47:58
4;e-commerce Jewelery;navigating foreground;Pitcairn system;2021-07-28T16:36:14;2021-07-28T14:45:45
5;utilisation Liaison;channels quantifying;expedite deposit;2021-07-28T23:25:26;2021-07-29T10:20:48
6;payment;Quality;coherent blockchains frictionless;2021-07-28T23:37:33;2021-07-29T05:25:25
7;Pike solution-oriented enterprise;Bedfordshire Radial;Cambridgeshire;2021-07-29T01:12:09;2021-07-29T09:08:52
8;Toys ivory;Bosnia Handmade;Sleek Berkshire;2021-07-28T13:33:50;2021-07-28T16:54:15
9;River input;Lodge;Pizza Cambridgeshire;2021-07-28T13:41:40;2021-07-29T09:55:00
10;Cotton;Prairie connecting Investment;system Intelligent;2021-07-29T06:42:24;2021-07-28T12:03:04
