id;name;detail;version;app_type;creation_date;last_updated
1;Car Carolina;Tools;azure Shoes;CRM;2021-07-29T05:18:28;2021-07-29T08:26:58
2;hybrid Bedfordshire PCI;Kwacha;Card;CRM;2021-07-29T02:10:31;2021-07-29T03:56:34
3;Lead;compelling;ADP;MOBILE;2021-07-29T04:34:00;2021-07-29T08:51:39
4;Music;Sharable Vermont French;EXE;HR;2021-07-29T10:24:43;2021-07-29T04:27:49
5;Assurance Metical;Avon;Soap;ANALYTICS;2021-07-28T12:12:15;2021-07-29T10:01:45
6;auxiliary Palau;Cambridgeshire Litas;lavender Guiana open-source;SERVICE;2021-07-28T15:32:19;2021-07-29T01:48:48
7;magenta Bike Electronics;Mexico Table Estate;Credit;HELPDESK;2021-07-28T23:38:54;2021-07-29T00:57:57
8;sensor Bike Granite;Avon Loop;Fiji;WEB;2021-07-29T09:46:53;2021-07-29T02:21:41
9;Singapore transmitting;copy generate;hack;BI;2021-07-28T16:40:16;2021-07-29T05:08:38
10;Computer bypass bluetooth;deploy Miquelon Islands;empower;CRM;2021-07-29T00:54:33;2021-07-28T19:34:23
