id;name;detail;creation_date;last_updated
1;Bouvet Borders Iowa;Human;2021-07-29T01:42:58;2021-07-28T22:14:18
2;driver;Cross-group;2021-07-29T06:09:16;2021-07-28T20:40:57
3;Accountability payment;Group;2021-07-29T01:47:45;2021-07-28T23:28:51
4;Money;Implemented bluetooth;2021-07-28T11:30:45;2021-07-29T00:38:46
5;Global SSL;Legacy static synthesize;2021-07-28T18:37:02;2021-07-29T03:43:15
6;Guilder;Beauty online Forest;2021-07-28T18:17:49;2021-07-28T22:41:54
7;Implemented Factors Anguilla;Dollar;2021-07-29T09:34:20;2021-07-28T14:48:17
8;Assurance Account;extend;2021-07-28T21:23:51;2021-07-29T03:31:19
9;RSS circuit Specialist;Account AGP;2021-07-28T14:54:50;2021-07-28T11:28:29
10;evolve Buckinghamshire;HDD Open-source;2021-07-29T09:53:11;2021-07-29T04:21:50
