id;name;detail;type;purpose;creation_date;last_updated
1;payment;Customer;INTEGRATED;MASKING;2021-07-28T13:07:10;2021-07-29T07:12:27
2;Customer-focused;Secured indexing;OTHER;PROFILING;2021-07-28T13:17:32;2021-07-29T01:15:53
3;regional;strategize;STAGING;PROFILING;2021-07-29T10:01:16;2021-07-29T05:41:40
4;Mobility leverage partnerships;Incredible users;TESTING;REPORTING;2021-07-28T15:36:52;2021-07-28T13:10:12
5;Hampshire;SQL;TESTING;MASKING;2021-07-28T15:23:16;2021-07-28T12:18:13
6;Assurance Pizza;Handcrafted;STANDALONE;PROFILING;2021-07-28T18:07:03;2021-07-29T07:52:19
7;Gorgeous USB;Unbranded Avon;PRODUCTION;PROFILING;2021-07-28T18:45:50;2021-07-29T07:39:41
8;invoice;disintermediate Senior North;TESTING;MASKING;2021-07-29T05:43:27;2021-07-29T06:15:23
9;Functionality;Coordinator Italy;PRODUCTION;PROFILING;2021-07-29T09:07:33;2021-07-29T02:00:28
10;IB invoice Germany;Agent Beauty;PRODUCTION;REPORTING;2021-07-28T14:47:07;2021-07-28T18:31:16
