id;name;detail;column_name_line_number;encoding;separator_char;quote_char;escape_char;fixed_value_width;skip_empty_lines;skip_empty_columns;fail_on_inconsistent_line_width;skip_ebcdic_header;eol_present;file_type;creation_date;last_updated
1;Soft Field;mobile;53430;Refined Universal Intelligent;Estonia Granite Circle;Investment;Clothing system Israel;7067;true;false;false;true;true;Ball payment Direct;2021-07-29T10:12:45;2021-07-28T15:33:33
2;Jewelery Buckinghamshire;groupware;44649;Industrial;RAM Groves exploit;deposit Borders SSL;Plastic Designer;30666;false;true;true;true;true;up Gorgeous;2021-07-28T14:30:28;2021-07-28T20:37:23
3;hacking;Seychelles Fish Home;86745;Dale client-server;purple;Cambridgeshire maximized;programming;15694;false;true;true;false;true;transmit Tactics Refined;2021-07-28T11:25:41;2021-07-29T08:14:15
4;Avon;virtual Steel Berkshire;36314;Rhode;Metal;Facilitator attitude-oriented New;neutral;10518;false;true;true;false;true;Verde metrics online;2021-07-29T09:44:49;2021-07-28T19:41:25
5;Cambodia;invoice;90961;functionalities;interface methodical alarm;scalable hybrid Account;encryption Bike Computer;19461;false;true;true;true;false;Idaho;2021-07-29T10:23:13;2021-07-28T19:55:27
6;gold;stable;98330;Generic turquoise;cyan;Niger Shoes customized;Gloves Director Solomon;31607;false;true;true;true;true;Account;2021-07-28T13:29:52;2021-07-28T22:24:23
7;Soft input integrate;copying Personal;73567;Internal;Lane Massachusetts;online reboot;interactive;98412;false;false;false;true;false;program system;2021-07-28T21:58:00;2021-07-29T02:03:49
8;Mexico;Producer Agent Ergonomic;724;Awesome payment Springs;compressing Sudanese turquoise;Chief program;Handcrafted Licensed;12256;false;false;false;false;false;harness XSS blockchains;2021-07-28T13:43:18;2021-07-29T08:04:13
9;Fresh;AGP;10846;Right-sized communities;Automotive;optimal XML;Loan;80591;false;true;true;true;false;lime COM Borders;2021-07-29T08:37:54;2021-07-28T17:15:20
10;impactful Chief 24/365;capacitor GB;78970;quantify bypass;application;Directives;improvement disintermediate e-business;20234;false;false;true;true;true;Kentucky website Savings;2021-07-28T23:17:47;2021-07-28T12:57:53
