id;name;detail;file_type;file_path;column_name_line_number;encoding;separator_char;quote_char;escape_char;fixed_value_width;skip_empty_lines;skip_empty_columns;fail_on_inconsistent_line_width;skip_ebcdic_header;eol_present;creation_date;last_updated
1;Bedfordshire;forecast;PARQUET;Kids;34977;Franc;Comoros;Borders Wisconsin navigating;solutions Niger Coordinator;68077;true;true;false;true;true;2021-07-28T12:50:31;2021-07-28T16:38:38
2;Pizza withdrawal Grocery;sticky;NOSQL;fresh-thinking Card Indian;61349;Steel unleash;Profit-focused;Concrete;copy optical;34599;true;true;true;true;true;2021-07-28T22:32:13;2021-07-29T09:36:30
3;Industrial;Lari Licensed;QMS;deposit;68326;enhance Handcrafted radical;array Sleek intuitive;grid-enabled Chips;Refined 1080p;13059;false;true;false;true;false;2021-07-28T20:07:44;2021-07-29T09:07:10
4;District Concrete Facilitator;withdrawal Officer Computers;FIXED;empower;52251;Polarised invoice Extended;Brand;Agent;Data;47669;true;false;true;true;false;2021-07-28T14:40:15;2021-07-28T12:00:43
5;cyan Plastic;Organized;JDBC;withdrawal grid-enabled Chips;89413;e-markets Computers;Square payment Investment;overriding feed plum;quantify;89725;true;false;true;false;true;2021-07-28T16:39:59;2021-07-29T00:53:32
6;alarm;Avon Gateway;XLS;Frozen virtual Money;14396;maximize quantify copy;back-end Soft synthesize;Intuitive;paradigms envisioneer;17851;true;true;true;true;false;2021-07-28T22:01:16;2021-07-28T10:55:50
7;Bedfordshire cross-platform;Tunisia Pakistan;ARVO;Refined Practical tangible;95804;reboot Metical;heuristic Rustic;District navigating JSON;withdrawal;23422;true;false;true;false;true;2021-07-28T11:00:10;2021-07-28T17:33:05
8;Consultant;attitude e-commerce Plastic;XML;Synchronised haptic;20115;Metal connecting Beauty;Concrete Shilling;markets Shoes Horizontal;HDD 24/365;21021;true;false;false;false;false;2021-07-29T09:23:58;2021-07-29T00:49:28
9;bypass;multi-byte Manager;QMS;tan whiteboard;72201;communities protocol Human;copying;benchmark;Generic compress;35544;true;false;false;true;false;2021-07-28T16:30:39;2021-07-29T02:24:54
10;frame;Tasty;NOSQL;Table ROI;36673;Lats;withdrawal;Sports bluetooth Unbranded;Florida;42137;false;false;false;true;false;2021-07-29T08:36:09;2021-07-28T16:44:24
