id;table_name;creation_date;last_updated
1;cyan;2021-07-29T03:43:28;2021-07-28T13:37:32
2;SDD frictionless;2021-07-29T05:13:45;2021-07-29T06:27:04
3;success Central multi-state;2021-07-29T06:32:42;2021-07-28T19:07:50
4;Brazil Terrace;2021-07-29T06:42:18;2021-07-28T20:01:25
5;Chile Persevering Tuna;2021-07-28T12:01:57;2021-07-29T04:45:18
6;Health solution-oriented;2021-07-28T17:41:14;2021-07-29T09:24:10
7;Crossroad Music Regional;2021-07-29T07:38:39;2021-07-28T23:49:48
8;Incredible Forward Practical;2021-07-29T07:13:19;2021-07-29T05:30:33
9;blockchains;2021-07-29T09:13:00;2021-07-28T20:53:36
10;Marketing;2021-07-29T04:18:57;2021-07-28T19:55:17
