id;column_name;column_type;column_size;is_nullable;is_primary_key;is_foreign_key;is_indexed;creation_date;last_updated
1;deposit cultivate users;conglomeration innovate;62168;false;true;true;false;2021-07-28T13:04:49;2021-07-29T06:09:48
2;mesh;Compatible optical;3807;false;true;false;false;2021-07-29T05:03:01;2021-07-28T17:29:52
3;leverage Namibia;e-tailers Course Refined;92533;true;false;false;true;2021-07-28T11:12:20;2021-07-28T16:38:37
4;intuitive;harness Switchable;6199;true;false;false;true;2021-07-29T01:18:20;2021-07-28T14:58:28
5;deposit Fish;Research auxiliary Salad;73901;true;true;false;false;2021-07-28T19:42:12;2021-07-29T03:22:12
6;Dong capacitor Personal;bi-directional hacking Identity;39916;true;true;true;false;2021-07-29T05:18:19;2021-07-28T21:52:46
7;human-resource;Steel array implementation;29411;true;false;true;false;2021-07-28T11:51:47;2021-07-29T09:18:44
8;California;Bedfordshire Internal;84338;true;true;true;false;2021-07-29T10:08:58;2021-07-29T07:30:45
9;Functionality Home;Concrete maroon withdrawal;75289;false;true;false;false;2021-07-28T12:24:06;2021-07-29T00:30:55
10;Consultant USB;Vista;83479;true;false;false;true;2021-07-28T21:49:27;2021-07-29T07:02:24
