id;table_name;value;symbol_size;category;col_cnt;col_cnt_nbr;col_cnt_tb;col_cnt_str;col_cnt_bl;col_cnt_pk;col_cnt_fk;col_cnt_ix;creation_date;last_updated
1;Executive iterate;9734;24866;86255;18177;2949;65332;16578;91031;82022;96170;20481;2021-07-28T21:36:37;2021-07-28T23:24:30
2;Dynamic hacking e-tailers;2241;32856;69969;1340;86991;14742;22021;69498;43127;83217;83501;2021-07-29T04:56:15;2021-07-29T07:16:22
3;HDD;26953;74085;66235;59479;282;66580;40702;53852;97227;17091;66287;2021-07-28T18:04:15;2021-07-28T11:46:59
4;Computer;50362;17563;31436;70160;54918;76318;12035;26033;74276;65429;73133;2021-07-29T01:41:43;2021-07-28T21:53:02
5;Officer;22989;1820;33006;34870;75735;32426;84670;20505;70557;68295;43105;2021-07-28T23:54:02;2021-07-28T23:45:49
6;magenta radical sticky;14062;62428;64064;78710;79246;93718;70000;46696;73104;15324;90887;2021-07-29T04:27:00;2021-07-28T12:02:05
7;quantify Movies Creative;5572;79796;83289;26319;68697;62251;62419;68905;6731;68151;96136;2021-07-29T09:23:01;2021-07-29T03:38:46
8;Facilitator Berkshire;57597;5050;29838;30713;41534;4838;70656;19182;55747;33841;44329;2021-07-28T21:44:23;2021-07-28T19:27:48
9;Colorado;86975;12961;9890;62274;51665;45216;26281;23825;25082;33415;83475;2021-07-28T18:22:42;2021-07-28T16:05:12
10;feed Plastic;88839;416;10743;321;81614;54839;71686;70800;32091;36777;81486;2021-07-28T20:55:13;2021-07-28T20:10:31
